Wall time,Step,Value
1621248741.074703,200,-346.7777099609375
1621248809.099205,300,-223.44691467285156
1621248877.188794,400,-258.765625
1621248944.993654,500,-301.2381591796875
1621249010.316407,600,-251.31854248046875
1621249078.081901,700,-353.6220703125
1621249145.491285,800,-350.53607177734375
1621249213.471464,900,-379.7386169433594
1621249281.18332,1000,-520.8225708007812
1621249348.850839,1100,-922.7028198242188
1621249416.490884,1200,-326.50677490234375
1621249484.161957,1300,-414.340576171875
1621249551.984631,1400,-378.86712646484375
1621249619.934289,1500,-286.8915100097656
1621249687.594699,1600,-204.80026245117188
1621249755.332354,1700,-179.44053649902344
1621249823.037151,1800,-199.48858642578125
1621249890.380943,1900,-141.91236877441406
1621249954.829784,2000,-104.92372131347656
1621250022.63162,2100,-129.90966796875
1621250090.052311,2200,-128.03628540039062
1621250157.23434,2300,-116.29199981689453
1621250225.072014,2400,-152.1516876220703
1621250292.848432,2500,-134.24209594726562
1621250360.882721,2600,-109.8221435546875
1621250427.976081,2700,-116.9389877319336
1621250493.006214,2800,-108.24664306640625
1621250560.489137,2900,-122.10548400878906
1621250625.970914,3000,-120.65620422363281
1621250693.846784,3100,-136.80975341796875
1621250761.400487,3200,-92.41962432861328
1621250827.754537,3300,-108.38070678710938
1621250895.110422,3400,-134.62513732910156
1621250961.263875,3500,-109.46697998046875
1621251027.54286,3600,-104.4819564819336
1621251094.835536,3700,-128.73898315429688
1621251161.502758,3800,-111.68089294433594
1621251229.534746,3900,-127.27951049804688
1621251293.511012,4000,-104.7563247680664
1621251360.206924,4100,-100.7897720336914
1621251426.970543,4200,-89.1080093383789
1621251494.760836,4300,-97.24878692626953
1621251562.797901,4400,-88.5064926147461
1621251628.551231,4500,-76.29022979736328
1621251695.830358,4600,-88.04674530029297
1621251762.987115,4700,-71.41248321533203
1621251830.122095,4800,-86.06207275390625
1621251897.805169,4900,-87.02146911621094
1621251965.946096,5000,-74.8302001953125
1621252033.704265,5100,-90.42668914794922
1621252101.431494,5200,-60.302433013916016
1621252169.66884,5300,-78.2824935913086
1621252237.145894,5400,-83.01895141601562
1621252304.94053,5500,-60.677764892578125
1621252372.952898,5600,-67.04943084716797
1621252440.715601,5700,-59.5533332824707
1621252508.364459,5800,-80.77748107910156
1621252575.730367,5900,-50.539241790771484
1621252643.712516,6000,-69.39969635009766
1621252711.610078,6100,-67.05480194091797
1621252776.462407,6200,-38.03843307495117
1621252844.33888,6300,-56.54017639160156
1621252912.051284,6400,-50.078914642333984
1621252980.041927,6500,-38.91285705566406
1621253047.505616,6600,-65.8700942993164
1621253115.485712,6700,-47.58667755126953
1621253180.600546,6800,-50.531394958496094
1621253248.368048,6900,-43.35236358642578
1621253315.073835,7000,-40.40768814086914
1621253382.842344,7100,-49.79828643798828
1621253450.677112,7200,-38.18693161010742
1621253515.009303,7300,-47.624019622802734
1621253579.561406,7400,-38.5892448425293
1621253647.128644,7500,-43.529502868652344
1621253711.953393,7600,-44.500423431396484
1621253779.802714,7700,-46.960693359375
1621253847.713574,7800,-47.83940505981445
1621253911.232549,7900,-36.23414611816406
1621253979.226014,8000,-38.35496139526367
1621254047.093487,8100,-43.92848587036133
1621254113.386742,8200,-31.151996612548828
1621254179.034357,8300,-28.486055374145508
1621254246.936539,8400,-38.237762451171875
1621254312.509355,8500,-31.735410690307617
1621254380.414731,8600,-40.00279235839844
1621254446.216457,8700,-41.4448127746582
1621254512.078045,8800,-44.95344924926758
1621254577.096032,8900,-35.672611236572266
1621254644.805664,9000,-36.67512130737305
1621254712.974484,9100,-35.65890884399414
1621254780.811542,9200,-40.79914474487305
1621254846.848648,9300,-37.97352600097656
1621254912.621709,9400,-32.16879653930664
1621254980.596893,9500,-30.701101303100586
1621255048.20904,9600,-35.679405212402344
1621255113.688563,9700,-31.94580841064453
1621255181.323071,9800,-35.87265396118164
1621255249.297017,9900,-36.09060287475586
1621255317.350493,10000,-35.025089263916016
1621255383.356434,10100,-32.12565231323242
1621255449.278338,10200,-32.07429504394531
1621255511.310684,10300,-31.12507438659668
1621255577.108932,10400,-25.945276260375977
1621255645.20811,10500,-30.9860782623291
1621255712.813113,10600,-36.20051193237305
1621255778.861092,10700,-28.216577529907227
1621255846.687895,10800,-33.75776672363281
1621255914.620219,10900,-33.767093658447266
1621255982.383421,11000,-34.16696548461914
1621256050.266106,11100,-30.38717269897461
1621256118.184146,11200,-27.461591720581055
1621256186.315665,11300,-32.48994445800781
1621256252.013331,11400,-31.43169403076172
1621256320.013519,11500,-29.384449005126953
1621256387.539551,11600,-30.459508895874023
1621256459.649916,11700,-32.85401153564453
