Wall time,Step,Value
1620935936.522732,200,0.0
1620936008.373779,300,0.0
1620936079.344177,400,0.0
1620936148.60064,500,0.0
1620936216.289995,600,0.0
1620936285.295456,700,0.0
1620936356.231224,800,0.0
1620936423.929526,900,0.0
1620936491.232435,1000,0.0
1620936555.935456,1100,5.0
1620936623.244181,1200,0.0
1620936689.803484,1300,5.0
1620936756.642233,1400,5.0
1620936823.142361,1500,5.0
1620936888.917978,1600,5.0
1620936955.162447,1700,5.0
1620937019.280066,1800,10.0
1620937085.443383,1900,5.0
1620937151.840294,2000,5.0
1620937219.324324,2100,0.0
1620937283.891992,2200,10.0
1620937347.749841,2300,15.0
1620937405.262006,2400,35.0
1620937460.885072,2500,40.0
1620937513.876226,2600,45.0
1620937577.476111,2700,15.0
1620937632.753397,2800,40.0
1620937691.455288,2900,25.0
1620937749.144822,3000,30.0
1620937807.45949,3100,30.0
1620937868.409225,3200,20.0
1620937926.026297,3300,30.0
1620937981.183519,3400,35.0
1620938039.078338,3500,30.0
1620938093.363805,3600,40.0
1620938144.624262,3700,50.0
1620938199.519771,3800,40.0
1620938253.643319,3900,40.0
1620938304.195414,4000,50.0
1620938361.291237,4100,30.0
1620938412.581043,4200,50.0
1620938463.230157,4300,50.0
1620938513.411375,4400,50.0
1620938566.918444,4500,45.0
1620938609.467756,4600,70.0
1620938663.934153,4700,40.0
1620938720.471644,4800,30.0
1620938769.170655,4900,60.0
1620938818.083549,5000,60.0
1620938879.106927,5100,20.0
1620938929.008821,5200,55.0
1620938986.794475,5300,30.0
1620939039.577011,5400,45.0
1620939096.273884,5500,30.0
1620939154.032861,5600,30.0
1620939205.579006,5700,45.0
1620939255.061297,5800,50.0
1620939302.334348,5900,55.0
1620939349.570943,6000,55.0
1620939404.403408,6100,35.0
1620939451.580275,6200,55.0
1620939499.467053,6300,55.0
1620939547.971073,6400,50.0
1620939589.329677,6500,70.0
1620939637.967416,6600,50.0
1620939680.884924,6700,65.0
1620939721.959776,6800,100.0
1620939756.185635,6900,100.0
1620939788.984003,7000,100.0
1620939820.223001,7100,100.0
1620939851.297472,7200,100.0
1620939881.21816,7300,100.0
1620939909.990787,7400,100.0
1620939940.956452,7500,100.0
1620939970.386895,7600,100.0
1620940003.508039,7700,100.0
1620940033.620432,7800,100.0
1620940063.874468,7900,100.0
1620940095.486359,8000,100.0
1620940124.772865,8100,100.0
1620940152.10072,8200,100.0
1620940181.538762,8300,100.0
1620940210.234475,8400,100.0
1620940240.920079,8500,100.0
1620940269.8067,8600,100.0
1620940318.639833,8700,45.0
1620940365.412647,8800,50.0
1620940412.510996,8900,50.0
1620940459.00031,9000,50.0
1620940508.732638,9100,45.0
1620940544.774911,9200,75.0
1620940585.328294,9300,65.0
1620940629.483993,9400,55.0
1620940680.574198,9500,40.0
1620940731.143422,9600,40.0
1620940788.035646,9700,25.0
1620940832.954918,9800,55.0
1620940871.530479,9900,70.0
1620940906.908674,10000,100.0
1620940940.000364,10100,100.0
1620940971.02311,10200,100.0
1620941000.296049,10300,100.0
1620941028.858071,10400,100.0
1620941055.953732,10500,100.0
1620941085.366269,10600,100.0
1620941115.276789,10700,100.0
1620941144.138731,10800,100.0
1620941172.968946,10900,100.0
1620941207.487117,11000,100.0
1620941236.777708,11100,100.0
1620941267.259896,11200,100.0
1620941295.657791,11300,100.0
1620941323.661689,11400,100.0
1620941352.656935,11500,100.0
1620941380.374092,11600,100.0
1620941409.354049,11700,100.0
1620941438.408076,11800,100.0
1620941466.09415,11900,100.0
1620941494.863992,12000,100.0
1620941521.090571,12100,100.0
1620941547.56848,12200,100.0
1620941576.191552,12300,100.0
1620941603.426081,12400,100.0
1620941632.032004,12500,100.0
1620941660.240354,12600,100.0
1620941690.835112,12700,100.0
1620941720.375198,12800,100.0
1620941750.313236,12900,100.0
1620941778.604419,13000,100.0
1620941808.713934,13100,100.0
1620941853.682665,13200,55.0
1620941887.542131,13300,100.0
1620941922.011065,13400,100.0
1620941954.898922,13500,100.0
1620941987.484444,13600,85.0
1620942018.087498,13700,100.0
1620942045.381682,13800,100.0
1620942073.306988,13900,100.0
1620942102.01337,14000,100.0
1620942130.687863,14100,100.0
1620942158.075873,14200,100.0
1620942186.478763,14300,100.0
1620942214.311632,14400,100.0
1620942240.800845,14500,100.0
1620942265.577933,14600,100.0
1620942291.442462,14700,100.0
1620942316.85392,14800,100.0
1620942341.663378,14900,100.0
1620942367.311224,15000,100.0
1620942393.336929,15100,100.0
1620942418.503893,15200,100.0
1620942443.146804,15300,100.0
1620942468.702109,15400,100.0
1620942493.671497,15500,100.0
1620942519.591599,15600,100.0
1620942544.589701,15700,100.0
1620942569.964607,15800,100.0
1620942594.30536,15900,100.0
1620942619.758452,16000,100.0
1620942644.290553,16100,100.0
1620942668.895781,16200,100.0
1620942692.813618,16300,100.0
1620942716.533962,16400,100.0
1620942741.484752,16500,100.0
1620942765.568949,16600,100.0
1620942789.144744,16700,100.0
1620942813.47742,16800,100.0
1620942838.730032,16900,100.0
1620942861.941452,17000,100.0
1620942885.433318,17100,100.0
1620942909.921166,17200,100.0
1620942934.706788,17300,100.0
1620942957.797904,17400,100.0
1620942982.275767,17500,100.0
1620943006.842429,17600,100.0
1620943031.521765,17700,100.0
1620943056.558967,17800,100.0
1620943080.41422,17900,100.0
1620943104.724358,18000,100.0
1620943129.717467,18100,100.0
1620943153.817476,18200,100.0
1620943178.298196,18300,100.0
1620943203.271034,18400,100.0
1620943228.003376,18500,100.0
