Wall time,Step,Value
1620342007.0088077,600,70.0
1620342008.3063743,700,70.0
1620342013.6197765,1100,70.0
1620342014.8779638,1200,70.0
1620342017.320154,1400,70.0
1620342018.6004367,1500,70.0
1620342019.8914807,1600,70.0
1620342022.358196,1800,70.0
1620342023.5662577,1900,70.0
1620342024.8313332,2000,70.0
1620342026.086766,2100,70.0
1620342031.0555937,2500,70.0
1620342042.499331,3400,69.3499984741211
1620342043.7388368,3500,70.0
1620342046.162763,3700,68.5999984741211
1620342049.6888142,4000,64.8499984741211
1620342050.905277,4100,66.75
1620342053.2988284,4300,69.25
1620342055.719294,4500,64.9000015258789
1620342056.8696065,4600,67.5999984741211
1620342059.2794065,4800,64.9000015258789
1620342061.7630916,5000,70.0
1620342062.8978608,5100,65.05000305175781
1620342066.495783,5400,57.650001525878906
1620342067.6821167,5500,61.95000076293945
1620342068.9221888,5600,62.04999923706055
1620342070.272066,5700,63.150001525878906
1620342071.470333,5800,62.75
1620342074.6158414,6100,53.95000076293945
1620342075.5845072,6200,50.54999923706055
1620342077.6270847,6400,59.599998474121094
1620342079.7633603,6600,57.95000076293945
1620342080.7960448,6700,56.150001525878906
1620342081.7608871,6800,50.20000076293945
1620342082.7099278,6900,54.45000076293945
1620342085.7062273,7200,48.849998474121094
1620342086.5869038,7300,44.150001525878906
1620342087.413919,7400,46.650001525878906
1620342088.3133986,7500,47.79999923706055
1620342090.280103,7700,53.150001525878906
1620342093.0922246,8000,49.70000076293945
1620342097.7573266,8500,41.54999923706055
1620342098.7075677,8600,46.25
1620342099.5275645,8700,39.099998474121094
1620342100.6103134,8800,51.29999923706055
1620342101.5323467,8900,48.650001525878906
1620342102.4528,9000,46.54999923706055
1620342106.6503055,9500,43.0
1620342113.7573795,10300,46.54999923706055
1620342116.1447105,10600,44.400001525878906
1620342116.90847,10700,38.599998474121094
1620342123.084327,11400,46.54999923706055
1620342125.711613,11700,47.79999923706055
1620342127.306812,11900,39.5
1620342128.157369,12000,42.650001525878906
1620342129.108368,12100,43.849998474121094
1620342132.8077834,12500,51.20000076293945
1620342133.5985925,12600,41.400001525878906
1620342134.475019,12700,46.099998474121094
1620342137.2506163,13000,44.349998474121094
1620342138.2729404,13100,55.45000076293945
1620342140.9486542,13400,44.95000076293945
1620342144.4676516,13800,45.599998474121094
1620342146.4420955,14000,51.849998474121094
1620342147.9518173,14200,41.04999923706055
1620342148.772609,14300,41.25
1620342149.5550873,14400,40.0
1620342150.3435435,14500,40.29999923706055
1620342153.1818135,14900,49.099998474121094
1620342154.9713037,15100,51.900001525878906
1620342157.3641896,15400,37.75
1620342158.0894935,15500,36.29999923706055
1620342158.8334908,15600,36.54999923706055
1620342160.617957,15800,43.150001525878906
1620342161.6957304,15900,57.20000076293945
1620342162.6971385,16000,55.650001525878906
1620342165.619713,16300,49.45000076293945
1620342167.4297237,16500,47.099998474121094
1620342168.258173,16600,43.650001525878906
1620342169.8987744,16800,41.04999923706055
1620342170.6170485,16900,34.45000076293945
1620342172.460561,17200,28.950000762939453
1620342175.4223096,17700,32.5
1620342176.1074517,17800,32.900001525878906
1620342176.6658125,17900,28.450000762939453
1620342178.1389735,18100,42.099998474121094
1620342179.0547218,18200,48.70000076293945
1620342180.5790386,18400,47.349998474121094
1620342181.9135416,18600,27.049999237060547
1620342182.5506392,18700,30.75
1620342183.0009143,18800,23.700000762939453
1620342183.6292663,18900,30.149999618530273
1620342184.8371575,19100,28.5
1620342185.4721508,19200,33.95000076293945
1620342189.5283535,19900,22.049999237060547
1620342191.5466442,20300,22.950000762939453
1620342193.3954344,20700,21.25
1620342193.8724866,20800,20.399999618530273
1620342194.2956185,20900,17.0
1620342196.1266937,21300,25.0
1620342198.4334562,21600,41.20000076293945
1620342201.4370377,21900,42.349998474121094
1620342202.312767,22000,49.400001525878906
1620342203.9154463,22300,19.950000762939453
1620342204.3354785,22400,19.350000381469727
1620342205.2406855,22600,18.649999618530273
1620342205.691474,22700,19.049999237060547
1620342206.1097953,22800,17.25
1620342206.9290574,23000,17.649999618530273
1620342207.3491518,23100,17.0
1620342208.243111,23300,16.649999618530273
1620342208.6053493,23400,17.399999618530273
1620342209.057707,23500,19.0
1620342210.2134585,23800,16.149999618530273
1620342211.4331007,24100,16.549999237060547
1620342213.403272,24600,14.649999618530273
1620342214.1574473,24800,14.899999618530273
1620342215.0940902,25000,23.450000762939453
1620342215.858318,25100,38.79999923706055
1620342220.3390784,25600,50.400001525878906
1620342222.397555,25900,16.350000381469727
1620342222.8266807,26000,16.950000762939453
1620342223.1799564,26100,15.75
1620342223.6011474,26200,17.299999237060547
1620342224.3806975,26400,15.600000381469727
1620342225.8395185,26800,14.899999618530273
1620342226.6192052,27000,16.649999618530273
1620342227.4475796,27200,17.25
1620342228.204708,27400,14.899999618530273
1620342230.029627,27900,15.899999618530273
1620342230.7955916,28100,12.399999618530273
1620342232.3048017,28500,15.100000381469727
1620342234.196629,29000,15.350000381469727
1620342234.9007976,29200,12.600000381469727
1620342235.2198482,29300,14.199999809265137
1620342236.3498976,29600,14.25
1620342237.024917,29800,12.800000190734863
1620342237.402408,29900,14.100000381469727
1620342237.8008502,30000,14.75
1620342238.5171862,30200,14.949999809265137
