Wall time,Step,Value
1620376838.4203901,600,-309.17413330078125
1620376839.7504013,700,-281.15325927734375
1620376844.9026291,1100,-335.1347351074219
1620376846.1666641,1200,-281.9954833984375
1620376848.7685845,1400,-241.7484130859375
1620376850.1026957,1500,-188.06593322753906
1620376851.3928227,1600,-232.29849243164062
1620376854.0103812,1800,-212.34695434570312
1620376855.324379,1900,-225.4939422607422
1620376856.6983776,2000,-180.64111328125
1620376858.0266047,2100,-248.53466796875
1620376863.1756887,2500,-213.36199951171875
1620376874.809734,3400,-146.31427001953125
1620376876.1256893,3500,-112.52855682373047
1620376878.6582677,3700,-143.33157348632812
1620376882.536163,4000,-96.08448791503906
1620376883.7787838,4100,-88.81732940673828
1620376886.4355273,4300,-122.71556091308594
1620376888.9835405,4500,-88.05188751220703
1620376890.2130525,4600,-74.50394439697266
1620376892.715787,4800,-57.24886703491211
1620376895.406524,5000,-84.94735717773438
1620376896.638837,5100,-89.6926040649414
1620376900.3903956,5400,-67.45018768310547
1620376901.604177,5500,-69.03492736816406
1620376902.8580003,5600,-85.00434112548828
1620376904.1057045,5700,-84.95548248291016
1620376905.3059022,5800,-53.96234893798828
1620376908.8566775,6100,-81.02766418457031
1620376910.0235925,6200,-68.69001007080078
1620376912.3498044,6400,-95.65131378173828
1620376914.8380535,6600,-57.952239990234375
1620376916.0464354,6700,-52.751407623291016
1620376917.234453,6800,-77.77428436279297
1620376918.2613873,6900,-44.44424819946289
1620376921.7945771,7200,-73.97203063964844
1620376922.8788795,7300,-50.74403381347656
1620376923.9677775,7400,-54.54293441772461
1620376925.099332,7500,-46.86388397216797
1620376927.476,7700,-64.95027160644531
1620376930.8752987,8000,-41.93012619018555
1620376936.2452765,8500,-57.39518356323242
1620376937.3040607,8600,-35.56433868408203
1620376938.3552046,8700,-40.92983627319336
1620376939.4678218,8800,-57.46848678588867
1620376940.5658624,8900,-42.04528045654297
1620376941.6776867,9000,-35.76710891723633
1620376946.488985,9500,-39.709144592285156
1620376954.9848163,10300,-27.17938995361328
1620376958.1102278,10600,-41.28584289550781
1620376959.0177217,10700,-26.153247833251953
1620376966.350862,11400,-34.71578598022461
1620376969.5552404,11700,-34.5984992980957
1620376971.5419922,11900,-30.003725051879883
1620376972.6746693,12000,-40.09062957763672
1620376973.5484896,12100,-28.3256778717041
1620376977.6383,12500,-40.15848159790039
1620376978.7902977,12600,-28.35287094116211
1620376979.7305274,12700,-22.976348876953125
1620376982.7243621,13000,-28.294090270996094
1620376983.851573,13100,-31.876131057739258
1620376986.8760786,13400,-20.956724166870117
1620376990.6005392,13800,-24.942405700683594
1620376992.793219,14000,-22.79063606262207
1620376995.0296617,14200,-19.891048431396484
1620376995.9313252,14300,-25.311595916748047
1620376996.852852,14400,-17.499034881591797
1620376997.7307959,14500,-17.991580963134766
1620377001.6583965,14900,-22.814285278320312
1620377003.8193576,15100,-21.052410125732422
1620377007.0527225,15400,-23.02952766418457
1620377008.3392925,15500,-27.673267364501953
1620377009.5522907,15600,-19.665916442871094
1620377012.1168993,15800,-28.96603012084961
1620377013.3992722,15900,-24.446117401123047
1620377014.6640465,16000,-27.477670669555664
1620377018.6093109,16300,-29.19657325744629
1620377020.9883723,16500,-23.919719696044922
1620377022.1692505,16600,-23.45102882385254
1620377024.4357886,16800,-21.278287887573242
1620377025.6165934,16900,-19.86446189880371
1620377028.2535927,17200,-14.562376022338867
1620377032.8165934,17700,-11.16592788696289
1620377033.7143798,17800,-18.9102840423584
1620377034.5857024,17900,-14.73588752746582
1620377036.5221841,18100,-15.727624893188477
1620377037.4943032,18200,-12.02958869934082
1620377039.372017,18400,-15.343316078186035
1620377041.3440163,18600,-20.731182098388672
1620377042.2720697,18700,-19.232906341552734
1620377043.103137,18800,-13.492841720581055
1620377044.0029747,18900,-17.87641143798828
1620377045.7490246,19100,-21.217159271240234
1620377046.8135307,19200,-16.671165466308594
1620377052.926892,19900,-14.188979148864746
1620377056.49975,20300,-15.967827796936035
1620377059.9271123,20700,-15.942618370056152
1620377060.9562702,20800,-22.832496643066406
1620377061.882023,20900,-18.497961044311523
1620377065.4663417,21300,-16.935348510742188
1620377067.723086,21600,-15.29898452758789
1620377069.2925696,21900,-13.355018615722656
1620377069.8164933,22000,-15.381185531616211
1620377072.234464,22300,-14.034554481506348
1620377072.9876115,22400,-11.7310152053833
1620377074.8592846,22600,-14.338183403015137
1620377075.7011855,22700,-19.04751968383789
1620377076.333772,22800,-15.588322639465332
1620377077.4500294,23000,-12.566797256469727
1620377077.9918172,23100,-9.709749221801758
1620377078.9769845,23300,-12.526132583618164
1620377079.4004052,23400,-6.9106035232543945
1620377079.8521347,23500,-7.627973556518555
1620377081.1650858,23800,-11.53898811340332
1620377082.5651193,24100,-9.687494277954102
1620377084.7190375,24600,-7.849400043487549
1620377085.5496664,24800,-7.589271068572998
1620377086.439969,25000,-9.561393737792969
1620377086.9915223,25100,-11.06603717803955
1620377089.1103947,25600,-7.138506889343262
1620377090.264989,25900,-8.367717742919922
1620377090.6566336,26000,-9.199097633361816
1620377090.988072,26100,-8.524094581604004
