Wall time,Step,Value
1620375308.7914417,600,5.0
1620375310.129653,700,0.0
1620375315.2846422,1100,0.0
1620375316.5801122,1200,0.0
1620375319.0911434,1400,0.0
1620375320.444534,1500,0.0
1620375321.7222302,1600,0.0
1620375324.299847,1800,5.0
1620375325.565819,1900,0.0
1620375326.8411818,2000,0.0
1620375328.1290534,2100,0.0
1620375333.1853144,2500,5.0
1620375344.7821448,3400,0.0
1620375346.0733707,3500,5.0
1620375348.5938683,3700,0.0
1620375352.3796906,4000,0.0
1620375353.616248,4100,5.0
1620375356.102515,4300,10.0
1620375358.6846876,4500,5.0
1620375359.8744705,4600,10.0
1620375362.4054272,4800,10.0
1620375364.9033158,5000,5.0
1620375366.169313,5100,5.0
1620375369.9803488,5400,5.0
1620375371.1782434,5500,0.0
1620375372.353644,5600,15.0
1620375373.6476595,5700,0.0
1620375374.8961072,5800,5.0
1620375378.5670838,6100,5.0
1620375379.78097,6200,10.0
1620375382.2776828,6400,15.0
1620375384.7336879,6600,20.0
1620375386.0286512,6700,10.0
1620375387.2527852,6800,20.0
1620375388.541269,6900,10.0
1620375392.28915,7200,10.0
1620375393.5883071,7300,20.0
1620375394.6736453,7400,45.0
1620375395.878255,7500,15.0
1620375398.3634741,7700,40.0
1620375402.0723853,8000,15.0
1620375408.1033878,8500,20.0
1620375409.2688022,8600,45.0
1620375410.3905315,8700,25.0
1620375411.5289388,8800,30.0
1620375412.828321,8900,15.0
1620375413.9897215,9000,30.0
1620375419.9108024,9500,20.0
1620375428.4873846,10300,80.0
1620375431.6655793,10600,80.0
1620375432.7496324,10700,60.0
1620375440.6468835,11400,45.0
1620375443.9712944,11700,45.0
1620375446.0257728,11900,50.0
1620375447.026687,12000,75.0
1620375448.0784564,12100,65.0
1620375451.8395317,12500,100.0
1620375452.8886304,12600,95.0
1620375454.0039918,12700,85.0
1620375456.800228,13000,100.0
1620375457.5877993,13100,100.0
1620375461.2924128,13400,5.0
1620375465.9867718,13800,20.0
1620375468.0568357,14000,45.0
1620375470.260414,14200,25.0
1620375471.5111694,14300,15.0
1620375472.560526,14400,40.0
1620375473.3557281,14500,75.0
1620375477.4616382,14900,55.0
1620375479.2538676,15100,80.0
1620375481.6740468,15400,100.0
1620375482.495196,15500,100.0
1620375483.214171,15600,100.0
1620375484.6417952,15800,100.0
1620375485.3407876,15900,100.0
1620375486.0543153,16000,100.0
1620375488.3854241,16300,100.0
1620375490.1425414,16500,100.0
1620375491.0261,16600,80.0
1620375493.084473,16800,45.0
1620375494.253057,16900,50.0
1620375497.6317108,17200,100.0
1620375501.305518,17700,100.0
1620375501.977167,17800,100.0
1620375502.6801097,17900,100.0
1620375504.0928342,18100,100.0
1620375504.8125455,18200,100.0
1620375506.5363948,18400,40.0
1620375508.7270453,18600,25.0
1620375509.5905373,18700,55.0
1620375510.5270536,18800,40.0
1620375511.5004268,18900,40.0
1620375513.6777425,19100,30.0
1620375514.73299,19200,25.0
1620375521.9984782,19900,15.0
1620375525.8519936,20300,55.0
1620375529.8741496,20700,50.0
1620375530.734519,20800,55.0
1620375531.7424102,20900,35.0
1620375535.7282243,21300,45.0
1620375538.4594753,21600,40.0
1620375541.3490334,21900,40.0
1620375542.4591353,22000,20.0
1620375545.3586526,22300,30.0
1620375546.3749044,22400,25.0
1620375547.8139164,22600,100.0
1620375548.469663,22700,100.0
1620375549.3012147,22800,55.0
1620375550.815442,23000,100.0
1620375551.3755412,23100,100.0
1620375552.4925175,23300,100.0
1620375553.0150359,23400,100.0
1620375553.5445027,23500,100.0
1620375555.0226345,23800,100.0
1620375556.4696794,24100,100.0
1620375559.591211,24600,50.0
1620375560.761783,24800,100.0
1620375561.6242864,25000,100.0
1620375562.0261438,25100,100.0
1620375564.0493886,25600,100.0
1620375565.2955778,25900,100.0
1620375565.688043,26000,100.0
1620375566.0585985,26100,100.0
1620375566.4599662,26200,100.0
1620375567.2098248,26400,100.0
1620375568.6430848,26800,100.0
1620375569.3444207,27000,100.0
1620375570.041557,27200,100.0
1620375570.7742155,27400,100.0
1620375572.4297366,27900,100.0
1620375573.097792,28100,100.0
1620375574.386552,28500,100.0
1620375576.014897,29000,100.0
1620375576.6498723,29200,100.0
1620375576.9215543,29300,100.0
1620375577.930433,29600,100.0
1620375578.5408988,29800,100.0
1620375578.862857,29900,100.0
1620375579.1955702,30000,100.0
1620375579.7635014,30200,100.0
1620375580.0856338,30300,100.0
1620375580.3886132,30400,100.0
1620375581.5698524,30800,100.0
1620375581.8857908,30900,100.0
1620375582.495795,31100,100.0
1620375583.4587882,31400,100.0
1620375584.6434352,31800,100.0
1620375584.9310374,31900,100.0
1620375585.2142549,32000,100.0
1620375585.5297706,32100,100.0
1620375586.1628277,32300,100.0
1620375586.9775634,32600,100.0
1620375587.2837474,32700,100.0
1620375587.5751202,32800,100.0
1620375588.444774,33100,100.0
1620375588.7441058,33200,100.0
1620375589.2689157,33400,100.0
1620375590.9787216,34000,100.0
1620375591.596778,34200,100.0
1620375592.453782,34500,100.0
1620375592.7400355,34600,100.0
1620375593.2965791,34800,100.0
1620375593.5853758,34900,100.0
1620375594.9947922,35400,100.0
1620375595.2792315,35500,100.0
1620375595.8280628,35700,100.0
1620375596.4257333,35900,100.0
1620375596.7317345,36000,100.0
1620375597.015993,36100,100.0
1620375597.8731935,36400,100.0
1620375598.1781783,36500,100.0
