Wall time,Step,Value
1623337824.101226,100,70.0
1623337825.8993986,200,64.55000305175781
1623337827.31708,300,70.0
1623337828.664032,400,70.0
1623337830.059191,500,70.0
1623337831.4862633,600,70.0
1623337832.8877504,700,70.0
1623337834.2285938,800,69.69999694824219
1623337835.5800087,900,67.55000305175781
1623337837.0720026,1000,70.0
1623337838.4531443,1100,70.0
1623337839.7552266,1200,66.8499984741211
1623337841.1544302,1300,68.3499984741211
1623337842.560805,1400,70.0
1623337843.9128978,1500,70.0
1623337845.2822735,1600,68.05000305175781
1623337846.644833,1700,70.0
1623337848.1630907,1800,70.0
1623337849.5243108,1900,70.0
1623337850.898826,2000,70.0
1623337852.3049989,2100,70.0
1623337853.6498928,2200,70.0
1623337855.0405688,2300,70.0
1623337856.404576,2400,70.0
1623337857.7952,2500,70.0
1623337859.196098,2600,70.0
1623337860.5480793,2700,70.0
1623337861.9970226,2800,70.0
1623337863.3718283,2900,70.0
1623337864.7899868,3000,70.0
1623337866.120085,3100,70.0
1623337867.4597807,3200,70.0
1623337868.8511431,3300,70.0
1623337870.2730181,3400,70.0
1623337871.6350975,3500,70.0
1623337873.0295224,3600,70.0
1623337874.4219842,3700,70.0
1623337875.8551831,3800,70.0
1623337877.1793475,3900,70.0
1623337878.5950549,4000,70.0
1623337879.937756,4100,70.0
1623337881.2893975,4200,70.0
1623337882.6574533,4300,66.55000305175781
1623337884.0426755,4400,70.0
1623337885.4131577,4500,70.0
1623337886.8347843,4600,70.0
1623337888.1706536,4700,70.0
1623337889.5827885,4800,70.0
1623337891.0003207,4900,70.0
1623337892.3869805,5000,70.0
1623337893.7649665,5100,70.0
1623337895.1524963,5200,70.0
1623337896.7589314,5300,70.0
1623337898.1018052,5400,70.0
1623337899.4435344,5500,70.0
1623337900.8188446,5600,70.0
1623337902.1878097,5700,70.0
1623337903.5897994,5800,70.0
1623337904.9701173,5900,70.0
1623337906.2884305,6000,66.55000305175781
1623337907.6647108,6100,70.0
1623337909.021066,6200,70.0
1623337910.4314177,6300,70.0
1623337911.8863666,6400,70.0
1623337913.2880461,6500,70.0
1623337914.659775,6600,70.0
1623337915.6700857,6700,41.150001525878906
1623337917.1016476,6800,70.0
1623337918.4369557,6900,70.0
1623337919.8105092,7000,70.0
1623337921.2330062,7100,70.0
1623337922.6387277,7200,70.0
1623337924.010689,7300,70.0
1623337925.362289,7400,70.0
1623337926.7704492,7500,70.0
1623337928.1977339,7600,70.0
1623337929.5216985,7700,70.0
1623337930.8638542,7800,70.0
1623337932.2070813,7900,70.0
1623337933.63753,8000,70.0
1623337935.0758803,8100,70.0
1623337936.4269073,8200,70.0
1623337937.8261604,8300,70.0
1623337939.1880524,8400,70.0
1623337940.588108,8500,70.0
1623337941.9562168,8600,70.0
1623337943.3654103,8700,70.0
1623337944.7235498,8800,70.0
1623337946.1137023,8900,70.0
1623337947.7006996,9000,70.0
1623337949.0250278,9100,70.0
1623337950.4681444,9200,70.0
1623337951.7962606,9300,70.0
1623337953.1883457,9400,70.0
1623337954.577859,9500,70.0
1623337955.933037,9600,70.0
1623337957.3010259,9700,70.0
1623337958.7375546,9800,70.0
1623337960.1065621,9900,70.0
1623337961.4695268,10000,70.0
1623337962.8572276,10100,70.0
1623337964.3126044,10200,70.0
1623337965.7191174,10300,70.0
1623337967.1282084,10400,70.0
1623337968.5694623,10500,70.0
1623337970.0339,10600,70.0
1623337971.405333,10700,70.0
1623337972.8078806,10800,70.0
1623337974.2386293,10900,70.0
1623337975.7666276,11000,70.0
1623337977.1766224,11100,70.0
1623337978.608619,11200,70.0
1623337979.9889781,11300,70.0
1623337981.3828418,11400,70.0
1623337982.7087803,11500,70.0
1623337984.0241413,11600,66.55000305175781
1623337985.3990262,11700,70.0
1623337986.8389127,11800,70.0
1623337988.1428635,11900,61.25
1623337989.623331,12000,70.0
1623337991.0615685,12100,70.0
1623337992.474965,12200,70.0
1623337993.8579698,12300,70.0
1623337995.4245684,12400,70.0
1623337996.8286755,12500,70.0
1623337998.196382,12600,70.0
1623337999.5826657,12700,70.0
1623338000.999013,12800,70.0
1623338002.4123728,12900,70.0
1623338003.8245013,13000,70.0
1623338005.160492,13100,70.0
1623338006.5556867,13200,70.0
1623338008.0378776,13300,70.0
1623338009.3881714,13400,70.0
1623338010.7857046,13500,70.0
1623338012.2156358,13600,70.0
1623338013.5967443,13700,70.0
1623338015.0421624,13800,70.0
