Wall time,Step,Value
1623335012.7534845,100,-36.695953369140625
1623335014.607759,200,-31.61283302307129
1623335015.9655402,300,-25.311513900756836
1623335017.332119,400,-22.424514770507812
1623335018.6846068,500,-30.696453094482422
1623335020.077959,600,-35.19145584106445
1623335021.4397092,700,-25.199060440063477
1623335022.8601825,800,-31.877565383911133
1623335024.2248478,900,-34.09807586669922
1623335025.6701372,1000,-50.811038970947266
1623335027.0173945,1100,-34.9654655456543
1623335028.465452,1200,-47.4739875793457
1623335029.8494287,1300,-69.582275390625
1623335031.2721322,1400,-81.69973754882812
1623335032.6796448,1500,-111.11575317382812
1623335034.000601,1600,-164.42100524902344
1623335035.3877244,1700,-128.5760498046875
1623335036.797351,1800,-112.609130859375
1623335038.1813397,1900,-197.31382751464844
1623335039.5769944,2000,-88.478271484375
1623335040.9821415,2100,-82.6712646484375
1623335042.2983057,2200,-96.79480743408203
1623335043.7442229,2300,-82.0793685913086
1623335045.101296,2400,-66.2484130859375
1623335046.5252593,2500,-35.421138763427734
1623335047.881793,2600,-21.683937072753906
1623335049.2485743,2700,-13.286139488220215
1623335050.5877466,2800,-69.68049621582031
1623335051.9455152,2900,-152.63925170898438
1623335053.34781,3000,-47.21674728393555
1623335054.7006524,3100,-31.269519805908203
1623335056.0574522,3200,-26.322315216064453
1623335057.4420574,3300,-24.175491333007812
1623335058.8585482,3400,-39.48001480102539
1623335060.266907,3500,-64.10948944091797
1623335061.8213167,3600,-37.23670959472656
1623335063.1949775,3700,-33.11522674560547
1623335064.4712691,3800,-23.221317291259766
1623335065.792063,3900,-26.138750076293945
1623335067.1785183,4000,-54.67332077026367
1623335068.5799239,4100,-75.49525451660156
1623335069.9594793,4200,-42.18201446533203
1623335071.3665392,4300,-69.3211441040039
1623335072.7705574,4400,-65.70264434814453
1623335074.157997,4500,-145.4957275390625
1623335075.5499787,4600,-223.5593719482422
1623335076.9230924,4700,-366.5924377441406
1623335078.2917752,4800,-307.2806396484375
1623335079.6849701,4900,-209.70306396484375
1623335081.0608037,5000,-143.3419189453125
1623335082.4328148,5100,-97.0468521118164
1623335083.8229737,5200,-60.44388198852539
1623335085.201792,5300,-60.338592529296875
1623335086.5757337,5400,-50.936439514160156
1623335087.9095519,5500,-52.08845901489258
1623335089.329696,5600,-50.29000473022461
1623335090.7385943,5700,-68.65139770507812
1623335092.1317432,5800,-73.54935455322266
1623335093.5260508,5900,-76.0305404663086
1623335094.8635375,6000,-67.52529907226562
1623335096.2485414,6100,-65.1643295288086
1623335097.574513,6200,-61.95087432861328
1623335098.9971404,6300,-59.40372848510742
1623335100.32296,6400,-66.84449005126953
1623335101.7367978,6500,-56.66574478149414
1623335103.1118317,6600,-49.932861328125
1623335104.515297,6700,-50.28106689453125
1623335105.8715558,6800,-46.940704345703125
1623335107.2045412,6900,-45.260772705078125
1623335108.5987813,7000,-73.48052215576172
1623335110.0038133,7100,-100.94338989257812
1623335111.4280577,7200,-109.95559692382812
1623335112.7608848,7300,-346.9599914550781
1623335114.1075945,7400,-373.58001708984375
1623335115.4727447,7500,-333.9906921386719
1623335116.8635077,7600,-277.810302734375
1623335118.1718912,7700,-229.66184997558594
1623335119.7228136,7800,-215.6252899169922
1623335121.1040106,7900,-180.963623046875
1623335122.5106277,8000,-108.00193786621094
1623335123.8662581,8100,-89.80734252929688
1623335125.2827573,8200,-63.277008056640625
1623335126.5958452,8300,-102.49666595458984
1623335128.0060518,8400,-61.121307373046875
1623335129.3630846,8500,-85.21092987060547
1623335130.7546556,8600,-58.76955032348633
1623335132.1312337,8700,-35.56503677368164
1623335133.501823,8800,-87.83720397949219
1623335134.8509295,8900,-154.5001983642578
1623335136.3005478,9000,-372.0902404785156
1623335137.6492946,9100,-782.099365234375
1623335139.0220208,9200,-714.428466796875
1623335140.3920763,9300,-607.2725219726562
1623335141.8156004,9400,-600.8194580078125
1623335143.1999273,9500,-665.7734985351562
1623335144.6029313,9600,-421.58868408203125
1623335145.9877882,9700,-480.95660400390625
1623335147.3793952,9800,-407.67919921875
1623335148.7973714,9900,-265.7678527832031
1623335150.1677685,10000,-218.16091918945312
1623335151.5751872,10100,-239.32969665527344
1623335152.9638276,10200,-282.8072814941406
1623335154.3469522,10300,-315.7517395019531
1623335155.7028105,10400,-249.85916137695312
1623335157.117654,10500,-196.70323181152344
1623335158.5018396,10600,-159.06922912597656
1623335159.9137864,10700,-138.859375
1623335161.2988257,10800,-128.5171661376953
1623335162.6658523,10900,-117.0705795288086
1623335164.0656672,11000,-98.9366683959961
1623335165.5842452,11100,-76.3338851928711
1623335166.939819,11200,-59.873531341552734
1623335168.3183074,11300,-46.379051208496094
1623335169.7133667,11400,-43.706180572509766
1623335171.075166,11500,-39.488243103027344
1623335172.4591112,11600,-35.065181732177734
1623335173.8279274,11700,-33.895423889160156
1623335175.2671278,11800,-30.41082763671875
1623335176.6642365,11900,-26.608787536621094
1623335178.1176338,12000,-21.96535873413086
1623335179.519892,12100,-22.693754196166992
1623335180.896271,12200,-19.1770076751709
1623335182.210669,12300,-16.522008895874023
1623335183.6367102,12400,-14.68575382232666
1623335184.9894006,12500,-15.762971878051758
1623335186.3552597,12600,-16.440128326416016
1623335187.6814067,12700,-17.27647590637207
1623335189.0856411,12800,-13.60515022277832
1623335190.4961784,12900,-16.741426467895508
1623335191.8708427,13000,-15.072396278381348
1623335193.2519395,13100,-14.438021659851074
1623335194.654435,13200,-10.68874454498291
1623335196.062761,13300,-7.093234062194824
1623335197.4140668,13400,-5.442134857177734
1623335198.846854,13500,-4.280961036682129
1623335200.1820652,13600,-3.465650796890259
1623335201.5622947,13700,-2.1173298358917236
1623335202.9364717,13800,-2.4845218658447266
1623335204.3032603,13900,-2.970836877822876
1623335205.679264,14000,-4.1341071128845215
1623335207.106469,14100,-5.149473667144775
1623335208.4528892,14200,-3.8098435401916504
1623335209.8063285,14300,-3.781468152999878
1623335211.1411607,14400,-6.163017272949219
1623335212.4783216,14500,-10.317306518554688
1623335213.8640091,14600,-21.307096481323242
1623335215.2485297,14700,-27.285884857177734
1623335216.659253,14800,-28.547992706298828
1623335218.1416981,14900,-27.42487335205078
1623335219.5722528,15000,-39.49923324584961
