Wall time,Step,Value
1623336410.8636613,100,0.0
1623336412.7215052,200,5.0
1623336414.1308975,300,0.0
1623336415.5314565,400,0.0
1623336416.9927292,500,0.0
1623336418.382809,600,0.0
1623336419.7423656,700,0.0
1623336421.2200496,800,0.0
1623336422.6208026,900,0.0
1623336424.080986,1000,0.0
1623336425.4992125,1100,0.0
1623336426.9186876,1200,0.0
1623336428.344681,1300,0.0
1623336429.719895,1400,0.0
1623336431.1360054,1500,0.0
1623336432.4543378,1600,10.0
1623336433.8791842,1700,0.0
1623336435.6148837,1800,0.0
1623336437.011412,1900,0.0
1623336438.3468313,2000,15.0
1623336439.7206063,2100,5.0
1623336441.1338289,2200,0.0
1623336442.5135128,2300,0.0
1623336443.9983637,2400,0.0
1623336445.5071495,2500,0.0
1623336446.9170887,2600,0.0
1623336448.3095815,2700,0.0
1623336449.7034752,2800,0.0
1623336451.012122,2900,25.0
1623336452.436435,3000,0.0
1623336453.801783,3100,0.0
1623336455.1671364,3200,0.0
1623336456.5299282,3300,0.0
1623336457.9711657,3400,0.0
1623336459.3604019,3500,0.0
1623336460.7591176,3600,0.0
1623336462.1305618,3700,0.0
1623336463.5134308,3800,0.0
1623336464.870937,3900,0.0
1623336466.2995822,4000,0.0
1623336467.6998277,4100,0.0
1623336469.1671145,4200,0.0
1623336470.6099355,4300,0.0
1623336471.9824297,4400,0.0
1623336473.359513,4500,0.0
1623336474.727801,4600,5.0
1623336476.1260366,4700,0.0
1623336477.562559,4800,0.0
1623336478.993341,4900,0.0
1623336480.4158142,5000,0.0
1623336481.8392735,5100,0.0
1623336483.2110922,5200,0.0
1623336484.6239586,5300,0.0
1623336486.0007198,5400,0.0
1623336487.3888328,5500,0.0
1623336488.8054767,5600,0.0
1623336490.2134602,5700,0.0
1623336491.6438303,5800,0.0
1623336493.0300667,5900,0.0
1623336494.4089253,6000,0.0
1623336495.8249393,6100,0.0
1623336497.2094631,6200,0.0
1623336498.6876695,6300,0.0
1623336500.0097106,6400,5.0
1623336501.5757205,6500,0.0
1623336502.911478,6600,0.0
1623336504.3142803,6700,0.0
1623336505.7258732,6800,0.0
1623336507.1644626,6900,0.0
1623336508.5779712,7000,0.0
1623336509.964475,7100,0.0
1623336511.322674,7200,0.0
1623336512.7497215,7300,0.0
1623336514.1577854,7400,0.0
1623336515.53773,7500,0.0
1623336516.9628928,7600,0.0
1623336518.3931494,7700,0.0
1623336519.7958622,7800,0.0
1623336521.1957722,7900,0.0
1623336522.66007,8000,0.0
1623336524.0268238,8100,0.0
1623336525.4374099,8200,0.0
1623336526.8260338,8300,0.0
1623336528.2261388,8400,0.0
1623336529.6119628,8500,0.0
1623336531.0238051,8600,0.0
1623336532.4067967,8700,0.0
1623336533.7528448,8800,5.0
1623336535.1105635,8900,0.0
1623336536.5223057,9000,5.0
1623336537.9418504,9100,0.0
1623336539.3610506,9200,0.0
1623336540.6974394,9300,5.0
1623336542.0429118,9400,0.0
1623336543.4598389,9500,0.0
1623336544.847806,9600,0.0
1623336546.2667415,9700,0.0
1623336547.6692312,9800,0.0
1623336549.0398474,9900,0.0
1623336550.4277878,10000,0.0
1623336551.8104086,10100,0.0
1623336553.2171774,10200,0.0
1623336554.6339734,10300,0.0
