Wall time,Step,Value
1621327848.691314,100,-505.9853820800781
1621327849.5836546,200,-414.8441467285156
1621327851.2647324,300,-285.3350524902344
1621327852.6079047,400,-408.8211364746094
1621327853.9266849,500,-423.3765869140625
1621327855.2071137,600,-675.7806396484375
1621327856.5068235,700,-181.62693786621094
1621327857.8069718,800,-375.25396728515625
1621327859.104247,900,-626.2018432617188
1621327860.4995809,1000,-1969.0111083984375
1621327861.8357882,1100,-246.8876495361328
1621327863.1603951,1200,-113.72645568847656
1621327864.5095422,1300,-287.08349609375
1621327865.8345463,1400,-253.9230194091797
1621327867.175791,1500,-309.9357604980469
1621327868.463011,1600,-355.2665100097656
1621327869.7770808,1700,-218.28509521484375
1621327871.1094718,1800,-283.828369140625
1621327872.4454684,1900,-180.1124725341797
1621327873.7679348,2000,-101.50216674804688
1621327875.0537632,2100,-225.73680114746094
1621327876.408759,2200,-455.8143005371094
1621327877.7387288,2300,-609.5658569335938
1621327879.08221,2400,-186.57456970214844
1621327880.3571763,2500,-143.7156982421875
1621327881.6714392,2600,-94.6771011352539
1621327882.9847386,2700,-109.97974395751953
1621327884.2970786,2800,-172.77584838867188
1621327885.6375244,2900,-197.80447387695312
1621327886.980456,3000,-283.6680603027344
1621327888.314358,3100,-221.56837463378906
1621327889.630347,3200,-295.7492980957031
1621327890.9630437,3300,-323.4156494140625
1621327892.2685907,3400,-1484.36669921875
1621327893.5992372,3500,-3063.831787109375
1621327894.902083,3600,-2104.907470703125
1621327896.227637,3700,-289.54608154296875
1621327897.5741239,3800,-764.4319458007812
1621327898.8775172,3900,-284.3101806640625
1621327900.199599,4000,-235.70550537109375
1621327901.518584,4100,-188.9566650390625
1621327902.8812366,4200,-109.00540161132812
1621327904.2345366,4300,-111.30962371826172
1621327905.5794983,4400,-417.9811706542969
1621327906.8721511,4500,-448.65484619140625
1621327908.2232466,4600,-824.817138671875
1621327909.5314968,4700,-395.04241943359375
1621327910.8568838,4800,-237.1293182373047
1621327912.184574,4900,-420.4385681152344
1621327913.4893882,5000,-426.771728515625
1621327914.8131733,5100,-404.8873291015625
1621327916.1333926,5200,-450.8456115722656
1621327917.4149964,5300,-333.51483154296875
1621327918.7071073,5400,-307.3898010253906
1621327920.0627286,5500,-294.6495056152344
1621327921.4171436,5600,-235.42251586914062
1621327922.7068987,5700,-225.61361694335938
1621327924.055538,5800,-159.053955078125
1621327925.3289664,5900,-78.1252212524414
1621327926.6659465,6000,-180.26898193359375
1621327927.9309435,6100,-117.55181121826172
1621327929.2567513,6200,-242.24929809570312
1621327930.566224,6300,-388.5212707519531
1621327931.890623,6400,-178.5079345703125
1621327933.2372463,6500,-252.04803466796875
1621327934.6156964,6600,-337.7723693847656
1621327936.002555,6700,-212.864501953125
1621327937.337984,6800,-354.112060546875
1621327938.6340244,6900,-485.13751220703125
1621327940.017611,7000,-1480.4486083984375
1621327941.3400795,7100,-989.3561401367188
1621327942.6728334,7200,-840.291015625
1621327944.0242915,7300,-1266.224365234375
1621327945.3582692,7400,-1688.099365234375
1621327946.6932392,7500,-2346.478271484375
1621327948.0728567,7600,-6065.693359375
1621327949.4171338,7700,-4879.84619140625
1621327950.7438416,7800,-2925.73876953125
1621327952.0492735,7900,-1004.2056884765625
1621327953.4163492,8000,-2050.443359375
1621327954.7419267,8100,-6292.7587890625
1621327956.0539856,8200,-5292.529296875
1621327957.3890429,8300,-13225.0966796875
1621327958.7322145,8400,-9344.09375
1621327960.0833147,8500,-7162.35888671875
1621327961.445565,8600,-8184.76953125
1621327962.7462838,8700,-10051.4990234375
1621327964.075384,8800,-14887.5068359375
1621327965.4703157,8900,-15087.904296875
1621327966.8249495,9000,-19922.55078125
1621327968.1605358,9100,-23530.23046875
1621327969.471717,9200,-32930.38671875
1621327970.797477,9300,-19363.1015625
1621327972.129481,9400,-15610.0830078125
1621327973.4445457,9500,-7473.27880859375
1621327974.729192,9600,-8093.50390625
1621327976.0534143,9700,-7315.99365234375
1621327977.384731,9800,-8376.84375
