Wall time,Step,Value
1621325166.4833906,100,0.0
1621325167.3824835,200,0.0
1621325168.9796054,300,5.0
1621325170.2726994,400,5.0
1621325171.5672407,500,10.0
1621325172.9092715,600,5.0
1621325174.208787,700,5.0
1621325175.4702942,800,10.0
1621325176.739638,900,5.0
1621325178.076408,1000,0.0
1621325179.386258,1100,5.0
1621325180.658315,1200,10.0
1621325181.916302,1300,5.0
1621325183.2529495,1400,0.0
1621325184.5419466,1500,0.0
1621325185.7968054,1600,10.0
1621325187.1109452,1700,0.0
1621325188.4041996,1800,0.0
1621325189.6573246,1900,5.0
1621325190.937724,2000,10.0
1621325192.2319942,2100,0.0
1621325193.5116537,2200,0.0
1621325194.7733107,2300,5.0
1621325196.019401,2400,10.0
1621325197.290317,2500,5.0
1621325198.5895898,2600,0.0
1621325199.8641803,2700,0.0
1621325201.1545136,2800,0.0
1621325202.526787,2900,0.0
1621325203.8236535,3000,0.0
1621325205.0929303,3100,5.0
1621325206.400785,3200,0.0
1621325207.6414425,3300,5.0
1621325208.8786128,3400,5.0
1621325210.121412,3500,10.0
1621325211.437096,3600,0.0
1621325212.7266555,3700,0.0
1621325214.0333972,3800,0.0
1621325215.4021704,3900,0.0
1621325216.7422454,4000,0.0
1621325218.0346825,4100,0.0
1621325219.3345346,4200,0.0
1621325220.630977,4300,0.0
1621325221.9680722,4400,0.0
1621325223.2492886,4500,5.0
1621325224.521789,4600,0.0
1621325225.8330412,4700,0.0
1621325227.1245942,4800,0.0
1621325228.4251156,4900,0.0
1621325229.7292652,5000,0.0
1621325231.0215657,5100,0.0
1621325232.3995976,5200,5.0
1621325233.7000105,5300,0.0
1621325234.9779048,5400,0.0
1621325236.2599533,5500,0.0
1621325237.55083,5600,0.0
1621325238.845173,5700,0.0
1621325240.131414,5800,0.0
1621325241.4148755,5900,0.0
1621325242.7375011,6000,0.0
1621325243.9824548,6100,5.0
1621325245.2849126,6200,0.0
1621325246.5643847,6300,0.0
1621325247.8325531,6400,0.0
1621325249.0988429,6500,5.0
1621325250.3330703,6600,10.0
1621325251.6378222,6700,10.0
1621325252.9174323,6800,10.0
1621325254.2183383,6900,0.0
1621325255.4745064,7000,10.0
1621325256.6798885,7100,15.0
1621325257.9482863,7200,0.0
1621325259.2253435,7300,5.0
1621325260.4737902,7400,5.0
1621325261.7240162,7500,15.0
1621325262.9549227,7600,15.0
1621325264.2551126,7700,0.0
1621325265.4864814,7800,10.0
1621325266.7859263,7900,0.0
1621325268.1163645,8000,0.0
1621325269.3535707,8100,10.0
1621325270.651775,8200,5.0
1621325271.9347332,8300,0.0
1621325273.229302,8400,0.0
1621325274.520303,8500,0.0
1621325275.8043315,8600,0.0
1621325277.109323,8700,0.0
1621325278.421921,8800,0.0
1621325279.7316513,8900,0.0
1621325281.019105,9000,0.0
1621325282.2822871,9100,5.0
1621325283.5488007,9200,5.0
1621325284.8468063,9300,0.0
1621325286.1851115,9400,0.0
1621325287.484234,9500,0.0
1621325288.8035429,9600,0.0
1621325290.0800571,9700,0.0
1621325291.4223814,9800,0.0
1621325292.774449,9900,0.0
1621325294.0998085,10000,0.0
1621325295.3792038,10100,0.0
1621325296.6915672,10200,0.0
1621325297.9659572,10300,0.0
1621325299.2409313,10400,0.0
1621325300.552326,10500,0.0
1621325301.8617098,10600,0.0
1621325303.1401045,10700,0.0
1621325304.430513,10800,0.0
1621325305.7253578,10900,0.0
1621325307.0710886,11000,0.0
1621325308.3719387,11100,0.0
1621325309.667765,11200,0.0
1621325310.966995,11300,0.0
1621325312.24042,11400,5.0
1621325313.5243373,11500,0.0
1621325314.8092475,11600,0.0
1621325316.1093526,11700,0.0
1621325317.4613292,11800,0.0
1621325318.7352452,11900,0.0
1621325320.0613055,12000,0.0
1621325321.3375537,12100,0.0
1621325322.7196705,12200,0.0
1621325324.0343645,12300,0.0
1621325325.3407686,12400,0.0
1621325326.652831,12500,0.0
1621325327.943579,12600,0.0
1621325329.2857153,12700,0.0
1621325330.5908644,12800,0.0
1621325331.8349185,12900,5.0
1621325333.14721,13000,0.0
1621325334.456316,13100,0.0
1621325335.7500916,13200,0.0
1621325337.040214,13300,0.0
1621325338.333806,13400,0.0
1621325339.637263,13500,0.0
1621325340.9619172,13600,0.0
1621325342.239448,13700,0.0
1621325343.5531607,13800,0.0
1621325344.8425856,13900,0.0
1621325346.1088548,14000,5.0
1621325347.4046004,14100,0.0
1621325348.6948364,14200,0.0
1621325349.9759436,14300,0.0
1621325351.2761674,14400,0.0
1621325352.6348145,14500,0.0
1621325353.9201286,14600,0.0
1621325355.2579892,14700,0.0
1621325356.5523055,14800,0.0
1621325357.8294237,14900,0.0
1621325359.1375184,15000,0.0
1621325360.5041304,15100,0.0
1621325361.7760565,15200,0.0
1621325363.0801413,15300,0.0
1621325364.3538597,15400,0.0
1621325365.6798718,15500,0.0
1621325367.0069156,15600,0.0
